Sex,Age,Height,Weight,Team,Sport,Event,Medal
1,18.0,184.0,76.0,24,44,457,1
0,13.0,183.0,60.0,327,44,476,0
1,31.0,173.0,86.0,429,36,368,1
0,30.0,174.0,60.0,41,3,75,0
1,17.0,181.0,74.0,254,44,450,0
1,29.0,183.0,80.0,429,3,54,1
1,26.0,180.0,73.0,420,44,448,0
1,26.0,166.0,63.0,376,12,173,1
1,28.0,187.0,73.0,293,24,298,1
1,30.0,191.0,96.0,392,55,550,1
1,28.0,213.0,130.0,352,6,108,1
1,22.0,188.0,85.0,380,19,261,1
1,32.0,177.0,79.0,423,17,247,1
1,22.0,185.0,89.0,429,3,27,1
0,21.0,172.0,64.0,261,44,474,0
1,32.0,191.0,87.0,200,17,244,0
0,23.0,164.0,54.0,423,12,186,1
1,24.0,188.0,87.0,200,3,27,0
1,25.0,169.0,67.0,376,19,261,1
0,18.0,167.0,47.0,310,32,332,0
1,23.0,178.0,65.0,423,29,322,1
0,19.0,181.0,95.0,429,3,91,0
1,22.0,186.0,77.0,392,48,506,1
0,29.0,157.0,53.0,429,38,413,1
0,19.0,185.0,78.0,83,17,255,1
0,15.0,138.0,33.0,24,22,292,0
1,25.0,182.0,76.0,200,17,249,1
1,23.0,176.0,70.0,336,43,433,1
1,29.0,172.0,71.0,162,36,368,0
1,24.0,185.0,82.0,370,44,461,0
1,23.0,159.0,58.0,395,22,278,0
0,35.0,162.0,55.0,205,43,445,1
1,24.0,183.0,74.0,338,18,257,0
1,23.0,180.0,82.0,197,11,154,0
1,26.0,185.0,97.5,141,25,300,0
1,25.0,178.0,74.0,261,19,261,0
1,24.0,174.0,64.0,287,3,47,0
1,24.0,160.0,59.0,99,55,546,1
1,22.0,178.0,67.0,234,14,206,0
1,26.0,172.0,65.0,141,12,177,1
0,26.0,168.0,57.0,205,45,489,1
1,25.0,182.0,77.0,429,29,322,0
0,22.0,173.0,59.0,429,44,478,1
1,34.0,175.0,66.0,143,22,279,0
1,28.0,183.0,85.0,205,14,211,0
1,23.0,175.0,82.0,429,25,300,1
1,29.0,203.0,130.0,370,3,55,0
1,27.0,183.0,73.0,200,3,42,0
1,21.0,180.0,79.0,73,44,456,0
1,25.0,182.0,68.0,185,3,45,0
1,17.0,184.0,76.0,336,41,422,0
0,23.0,163.0,60.0,73,38,412,1
1,24.0,168.0,65.0,416,3,34,0
0,20.0,180.0,73.0,395,9,128,0
0,22.0,167.0,49.0,99,47,503,1
1,24.0,156.0,54.0,205,22,275,0
1,27.0,185.0,73.0,221,14,206,0
1,25.0,173.0,70.0,200,14,208,1
1,29.0,184.0,88.0,446,36,371,1
1,36.0,176.0,102.0,392,3,48,1
1,25.0,175.0,70.0,376,11,159,0
1,49.0,180.0,77.0,450,36,368,1
1,22.0,194.0,95.0,376,33,343,1
1,24.0,180.0,82.0,327,11,144,0
1,26.0,179.0,60.0,205,10,129,1
1,26.0,179.0,87.0,416,55,554,1
1,22.0,170.0,72.0,293,24,298,1
0,27.0,177.0,77.0,65,33,352,1
0,25.0,160.0,55.0,310,12,185,0
0,32.0,164.0,52.0,271,24,299,1
0,20.0,167.0,53.0,395,18,260,0
0,17.0,165.0,55.0,371,43,440,0
1,24.0,173.0,66.0,429,20,263,0
0,15.0,166.0,60.0,439,44,476,0
1,21.0,187.0,102.0,200,53,519,1
1,20.0,180.0,75.0,287,3,26,0
